Region,wage,house_price,year
서울 강남,293,802,2016
서울 강북,311,560,2016
경기남부,297,398,2016
경기북부,214,338,2016
인천,267,317,2016
서울 강남,311,902,2017
서울 강북,323,611,2017
경기남부,313,493,2017
경기북부,226,355,2017
인천,276,326,2017
서울 강남,324,1120,2018
서울 강북,341,753,2018
경기남부,322,408,2018
경기북부,236,355,2018
인천,285,328,2018
서울 강남,336,1194,2019
서울 강북,350,812,2019
경기남부,328,514,2019
경기북부,245,414,2019
인천,292,332,2019
서울 강남,343,1402,2020
서울 강북,362,1018,2020
경기남부,339,636,2020
경기북부,252,442,2020
인천,294,373,2020
서울 강남,368,1706,2021
서울 강북,384,1258,2021
경기남부,362,672,2021
경기북부,260,548,2021
인천,310,547,2021
