,2016,2017,2018,2019,2020,2021,2022
서울,690.528,767.8015,951.3812,1015.6583,1222.0933,1495.2413,1510.049073
부산,338.818,354.6469,346.4654,341.0649,404.5312,524.9228,533.5929858
대구,318.5406,325.2103,340.8932,344.9076,391.5813,461.0144,438.0043076
인천,317.0184,325.894,328.1834,332.0864,372.5182,547.0088,540.55139
광주,249.6394,258.8827,291.015,303.8571,320.1074,375.1371,390.5811227
대전,261.145,266.6648,278.5047,315.5708,395.5923,492.2143,470.5991018
울산,313.0049,310.2996,292.7557,278.5096,327.8601,392.7984,395.9190222
세종,295.1501,322.1166,333.285,339.3486,580.0471,765.5652,687.8820353
경기,383.0854,397.7717,431.1147,431.4282,532.2827,738.6615,721.3637101
강원,205.0444,211.5092,209.601,194.6586,198.9473,256.4908,297.9520421
충북,211.9459,205.0587,192.3748,183.2049,196.9718,271.4326,298.0280755
충남,224.4836,218.2759,210.4051,204.6931,219.4667,278.2441,298.4708664
전북,194.4734,196.8124,195.1786,189.4352,194.5086,238.7969,269.9108782
전남,168.7214,179.7954,190.0834,198.1408,214.9386,240.2125,245.7656148
경북,209.3719,202.9033,189.3197,178.4934,187.6271,233.4876,249.2509814
경남,273.3145,260.1701,239.3643,225.8104,245.3326,305.623,330.7213693
제주,424.5393,438.4181,437.9986,427.7079,445.2213,588.9975,646.1299407
