,area,year,price,totalnum,highincomeratio,population,wagemoney,wageaverage
0,경기북부,2016,338.2762657,739,6.03535522,3391070,19010287,25.70513906
1,경기북부,2017,355.3405093,767,5.92131857,3417334,20812094,27.1073753
2,경기북부,2018,354.6300275,809,5.815898912,3462291,22941108,28.33564882
3,경기북부,2019,413.5076701,845,5.823031429,3509276,24858304,29.39480412
4,경기북부,2020,441.8331837,870,6.476197137,3555042,26320197,30.24162904
5,경기북부,2021,548.0473451,897,6.677757847,3593349,28030450,31.2225846
6,경기남부,2016,397.9301825,3176,10.30583174,9699633,113132178,35.61500832
7,경기남부,2017,492.8385893,3271,10.2428405,9838189,122783293,37.53428924
8,경기남부,2018,407.7048789,3430,10.43101315,10023388,132384485,38.58663248
9,경기남부,2019,514.3059,3571,10.5079216,10144708,140496327,39.3371825
10,경기남부,2020,635.8600783,3650,11.23994844,10252116,148330863,40.62796255
11,경기남부,2021,671.7718433,3778,11.83499102,10332513,164021037,43.40944812
12,인천,2016,317.0184,782,6.55,3002172,25047918,31.9955624
13,인천,2017,325.894,802,6.35,3011138,26563804,33.10514988
14,인천,2018,328.1834,841,6.46,3022511,28756050,34.16762019
15,인천,2019,332.0864,869,6.45,3029285,30449196,35.01259797
16,인천,2020,372.5182,901,6.95,3010476,31823890,35.31796712
17,인천,2021,547.0088,931,7.02,3014739,34682362,37.2358075
18,서울 강남,2016,801.5042,3599,22.70116747,6306490,126657058,35.18317091
19,서울 강남,2017,901.5518,3626,22.43157366,6259299,135164690,37.26685656
20,서울 강남,2018,1120.4946,3731,22.8819441,6204596,145073901,38.87922492
21,서울 강남,2019,1194.2315,3804,23.32777512,6204657,153315451,40.29830118
22,서울 강남,2020,1401.8124,3847,24.72750312,6192522,158563477,41.20674621
23,서울 강남,2021,1705.8669,3967,26.16326285,6110555,174990471,44.10196602
24,서울 강북,2016,560.1787,2023,17.03642408,3624126,75401319,37.26900983
25,서울 강북,2017,610.7027,2058,17.01835071,3598127,79892260,38.81690735
26,서울 강북,2018,752.7458,2091,16.89853227,3561027,85501177,40.88355901
27,서울 강북,2019,812.4787,2099,17.3721636,3524450,88303526,42.05088001
28,서울 강북,2020,1017.61,2078,19.28946173,3475943,90250768,43.42914997
29,서울 강북,2021,1258.3213,2095,19.82183911,3398903,96487676,46.05278466
