code,region,pop
11,서울특별시,120
11110,종로구,120
11140,중구,120
11170,용산구,120
11200,성동구,120
11215,광진구,120
11230,동대문구,120
11260,중랑구,120
11290,성북구,120
11305,강북구,120
11320,도봉구,120
11350,노원구,120
11380,은평구,120
11410,서대문구,120
11440,마포구,120
11470,양천구,120
11500,강서구,120
11530,구로구,120
11545,금천구,120
11560,영등포구,120
11590,동작구,120
11620,관악구,120
11650,서초구,120
11680,강남구,120
11710,송파구,120
11740,강동구,120
26,부산광역시,57
26110,중구,57
26140,서구,57
26170,동구,57
26200,영도구,57
26230,부산진구,57
26260,동래구,57
26290,남구,57
26320,북구,57
26350,해운대구,57
26380,사하구,57
26410,금정구,57
26440,강서구,57
26470,연제구,57
26500,수영구,57
26530,사상구,57
26710,기장군,57
27,대구광역시,38
27110,중구,38
27140,동구,38
27170,서구,38
27200,남구,38
27230,북구,38
27260,수성구,38
27290,달서구,38
27710,달성군,38
28,인천광역시,70
28110,중구,70
28140,동구,70
28177,미추홀구,70
28185,연수구,70
28200,남동구,70
28237,부평구,70
28245,계양구,70
28260,서구,70
28710,강화군,70
28720,옹진군,70
29,광주광역시,57
29110,동구,57
29140,서구,57
29155,남구,57
29170,북구,57
29200,광산구,57
30,대전광역시,80
30110,동구,80
30140,중구,80
30170,서구,80
30200,유성구,80
30230,대덕구,80
31,울산광역시,26
31110,중구,26
31140,남구,26
31170,동구,26
31200,북구,26
31710,울주군,26
36,세종특별자치시,133
36110,세종시,133
41,경기도,88
41110,수원시,88
41111,장안구,88
41113,권선구,88
41115,팔달구,88
41117,영통구,88
41130,성남시,88
41131,수정구,88
41133,중원구,88
41135,분당구,88
41150,의정부시,88
41170,안양시,88
41171,만안구,88
41173,동안구,88
41190,부천시,88
41210,광명시,88
41220,평택시,88
41250,동두천시,88
41270,안산시,88
41271,상록구,88
41273,단원구,88
41280,고양시,88
41281,덕양구,88
41285,일산동구,88
41287,일산서구,88
41290,과천시,88
41310,구리시,88
41360,남양주시,88
41370,오산시,88
41390,시흥시,88
41410,군포시,88
41430,의왕시,88
41450,하남시,88
41460,용인시,88
41461,처인구,88
41463,기흥구,88
41465,수지구,88
41480,파주시,88
41500,이천시,88
41550,안성시,88
41570,김포시,88
41590,화성시,88
41610,광주시,88
41630,양주시,88
41650,포천시,88
41670,여주시,88
41800,연천군,88
41820,가평군,88
41830,양평군,88
42,강원도,45
42110,춘천시,45
42130,원주시,45
42150,강릉시,45
42170,동해시,45
42190,태백시,45
42210,속초시,45
42230,삼척시,45
42720,홍천군,45
42730,횡성군,45
42750,영월군,45
42760,평창군,45
42770,정선군,45
42780,철원군,45
42790,화천군,45
42800,양구군,45
42810,인제군,45
42820,고성군,45
42830,양양군,45
43,충청북도,41
43110,청주시,41
43112,서원구,41
43114,청원구,41
43111,상당구,41
43113,흥덕구,41
43130,충주시,41
43150,제천시,41
43720,보은군,41
43730,옥천군,41
43740,영동군,41
43745,증평군,41
43750,진천군,41
43760,괴산군,41
43770,음성군,41
43800,단양군,41
44,충청남도,33
44270,당진시,33
44130,천안시,33
44131,동남구,33
44133,서북구,33
44150,공주시,33
44180,보령시,33
44200,아산시,33
44210,서산시,33
44230,논산시,33
44250,계룡시,33
44710,금산군,33
44760,부여군,33
44770,서천군,33
44790,청양군,33
44800,홍성군,33
44810,예산군,33
44825,태안군,33
45,전라북도,39
45110,전주시,39
45111,완산구,39
45113,덕진구,39
45130,군산시,39
45140,익산시,39
45180,정읍시,39
45190,남원시,39
45210,김제시,39
45710,완주군,39
45720,진안군,39
45730,무주군,39
45740,장수군,39
45750,임실군,39
45770,순창군,39
45790,고창군,39
45800,부안군,39
46,전라남도,46
46110,목포시,46
46130,여수시,46
46150,순천시,46
46170,나주시,46
46230,광양시,46
46710,담양군,46
46720,곡성군,46
46730,구례군,46
46770,고흥군,46
46780,보성군,46
46790,화순군,46
46800,장흥군,46
46810,강진군,46
46820,해남군,46
46830,영암군,46
46840,무안군,46
46860,함평군,46
46870,영광군,46
46880,장성군,46
46890,완도군,46
46900,진도군,46
46910,신안군,46
47,경상북도,19
47110,포항시,19
47111,남구,19
47113,북구,19
47130,경주시,19
47150,김천시,19
47170,안동시,19
47190,구미시,19
47210,영주시,19
47230,영천시,19
47250,상주시,19
47280,문경시,19
47290,경산시,19
47720,군위군,19
47730,의성군,19
47750,청송군,19
47760,영양군,19
47770,영덕군,19
47820,청도군,19
47830,고령군,19
47840,성주군,19
47850,칠곡군,19
47900,예천군,19
47920,봉화군,19
47930,울진군,19
47940,울릉군,19
48,경상남도,21
48120,창원시,21
48121,의창구,21
48123,성산구,21
48125,마산합포구,21
48127,마산회원구,21
48129,진해구,21
48170,진주시,21
48220,통영시,21
48240,사천시,21
48250,김해시,21
48270,밀양시,21
48310,거제시,21
48330,양산시,21
48720,의령군,21
48730,함안군,21
48740,창녕군,21
48820,고성군,21
48840,남해군,21
48850,하동군,21
48860,산청군,21
48870,함양군,21
48880,거창군,21
48890,합천군,21
50,제주특별자치도,52
50110,제주시,52
50130,서귀포시,52
