,2016.D,2016.J,2016.K,2016.M,2017.D,2017.J,2017.K,2017.M,2018.D,2018.J,2018.K,2018.M,2019.D,2019.J,2019.K,2019.M,2020.D,2020.J,2020.K,2020.M,2021.D,2021.J,2021.K,2021.M
경기 북부,3029,13634,25287,21382,2643,14449,24704,22511,2664,14737,23616,24405,2739,14562,23662,26225,4243,21115,22459,35520,4438,23100,23863,36382
총 종사자,1049350,1049350,1049350,1049350,1086025,1086025,1086025,1086025,1124882,1124882,1124882,1124882,1153832,1153832,1153832,1153832,1286820,1286820,1286820,1286820,1314558,1314558,1314558,1314558
경기 고소득 종사자,63332,63332,63332,63332,64307,64307,64307,64307,65422,65422,65422,65422,67188,67188,67188,67188,83337,83337,83337,83337,87783,87783,87783,87783
경기 남부,7372,87016,78223,214195,5506,93542,79676,217445,5904,99982,80263,236253,6266,102459,80030,247209,10184,137846,80063,288948,11119,152980,82516,307264
총 종사자,3753273,3753273,3753273,3753273,3867765,3867765,3867765,3867765,4049482,4049482,4049482,4049482,4148908,4148908,4148908,4148908,4600030,4600030,4600030,4600030,4680012,4680012,4680012,4680012
경기 고소득 종사자,386806,386806,386806,386806,396169,396169,396169,396169,422402,422402,422402,422402,435964,435964,435964,435964,517041,517041,517041,517041,553879,553879,553879,553879
서울 강남,4811,271377,161400,328689,3669,271916,162713,329786,3959,282250,161716,351585,4022,286168,162191,368271,4372,367239,176159,446287,4446,396535,179852,452045
총 종사자,3375496,3375496,3375496,3375496,3424120,3424120,3424120,3424120,3494065,3494065,3494065,3494065,3517918,3517918,3517918,3517918,4020046,4020046,4020046,4020046,3947818,3947818,3947818,3947818
강남 고소득 종사자,766277,766277,766277,766277,768084,768084,768084,768084,799510,799510,799510,799510,820652,820652,820652,820652,994057,994057,994057,994057,1032878,1032878,1032878,1032878
서울 강북,2806,72778,108312,106397,1907,73114,105539,108036,2124,75511,100557,111934,2212,73894,103919,116879,2469,92566,116945,144659,2427,94086,119206,145714
총 종사자,1703955,1703955,1703955,1703955,1695793,1695793,1695793,1695793,1716871,1716871,1716871,1716871,1709079,1709079,1709079,1709079,1848880,1848880,1848880,1848880,1823408,1823408,1823408,1823408
강북 고소득 종사자,290293,290293,290293,290293,288596,288596,288596,288596,290126,290126,290126,290126,296904,296904,296904,296904,356639,356639,356639,356639,361433,361433,361433,361433
