"A. 농업,임업 및 어업",B. 광업,C. 제조업,"D. 전기,가스,증기 및 수도사업","E. 하수·폐기물처리,원료재생 및 환경복원업",F. 건설업,G. 도매 및 소매업,H. 운수업,I. 숙박 및 음식점업,"J. 출판,영상,방송통신 및 정보서비스업",K. 금융업,L. 부동산업,"M. 전문,과학 및 기술서비스업",N. 사업시설관리 및 사업지원서비스업,P. 교육서비스업,Q. 보건업 및 사회복지서비스업,"R. 예술,스포츠 및 여가관련서비스업",S. 협회 및 수리 및 기타개인서비스업
2287,2765,2494,4541,2251,2128,1973,2228,1092,3251,3919,1647,3047,2199,2310,2028,1510,1728
2428,2863,2587,4790,2348,2210,2026,2261,1125,3332,4046,1665,3107,2180,2320,2084,1548,1748
2428,2973,2734,4977,2436,2287,2090,2472,1164,3368,4328,1795,3317,2150,2479,2080,1609,1737
2504,3070,2882,4904,2462,2333,2204,2654,1248,3351,4399,1797,3483,2148,2532,2182,1718,1782
2624,3220,3054,5108,2677,2457,2260,2706,1309,3512,4555,1903,3588,2189,2610,2203,1701,1879
2643,3309,3267,5212,2791,2546,2361,2723,1244,3497,4762,1903,3722,2303,2608,2154,1757,1837
2669,3551,3327,5347,2836,2472,2428,2761,1266,3546,4828,1979,3828,2362,2576,2216,1774,1844
2775,3644,3379,5767,2955,2531,2536,2920,1347,3673,5203,2162,3985,2435,2706,2246,1869,1908
2638,3790,3422,5596,3161,2621,2592,3032,1354,3847,5165,2305,4092,2539,2969,2387,1933,2006
2907,3997,3590,5772,3400,2722,2732,3063,1471,4052,5396,2446,4266,2685,3000,2504,2034,2115
2953,4082,3708,5716,3556,2752,2878,3157,1569,4236,5612,2488,4437,2824,3098,2613,2157,2246
3030,4041,3663,6142,3647,2756,2999,3192,1588,4351,5865,2610,4555,2871,3042,2586,2221,2421
3127,4084,3813,6242,3774,2891,3079,3331,1600,4358,6042,2612,4536,2960,3037,2603,2320,2502
3113,4298,4114,6268,3937,3094,3425,3583,1707,4624,6415,2741,4809,3058,3143,2723,2547,2667
